USERID,ZDATE,ZTDATE,VERSION,LASTNAME,FIRSTNAME,FUNCTION,DEPARTMENT,COMPANY,USERTYPE,USERGROUP,LASTLOGONDATE,LASTLOGONTIME,EXPIRATIONSTARTDATE,EXPIRATIONENDDATE,USERLOCKSTATUS,ASSIGNEDROLE,TCDNUM,USEDTCD,ASSIGNEDTYPID,ROLETYPID,TCDTYPID
META01,202508,,1.68,송,민근,,,ATNS Group,A,,2025-01-14,오후 1:29:50,,,0,0,0,0,,GB Advanced Use,
MGBLD001,202508,,1.68,MTGCON001,,,,Metanet Global,A,,2025-03-22,오전 12:00:00,,,0,21,1,0,,GB Advanced Use,
MGBLD002,202508,,1.68,MGBLD002,,,,Metanet Global,A,,2024-01-18,오전 12:00:00,,,0,21,1,0,,GB Advanced Use,
MGBLD003,202508,,1.68,MGBLD003,,,,Metanet Global,A,,2024-01-21,오후 10:57:23,,,0,21,1,0,,GB Advanced Use,
MGBLD004,202508,202504,1.68,MGBLD004,,,,Metanet Global,A,,2025-04-11,오후 2:13:23,,,0,21,1,3,,GB Advanced Use,
MGBLD005,202508,,1.68,MGBLD005,,,,Metanet Global,A,,2025-02-26,오후 1:41:24,,,0,21,1,0,,GB Advanced Use,
MGBLD006,202508,202504,1.68,MGBLD006,,,,Metanet Global,A,,2025-04-07,오후 4:13:40,,,0,21,1,3,,GB Advanced Use,
MGBLD007,202508,,1.68,MGBLD007,,,,Metanet Global,A,,2024-12-05,오후 3:13:42,,,0,21,1,0,,GB Advanced Use,
MGBLD008,202508,202504,1.68,MGBLD008,,,,Metanet Global,A,,2025-07-29,오후 7:59:11,,,0,21,1,109,,GB Advanced Use,GB Advanced Use
MGBLD008,202508,202505,1.68,MGBLD008,,,,Metanet Global,A,,2025-07-29,오후 7:59:11,,,0,21,1,72,,GB Advanced Use,GB Advanced Use
MGBLD009,202508,202504,1.68,MGBLD009,,,,Metanet Global,A,,2025-06-09,오후 10:06:15,,,0,21,1,7,,GB Advanced Use,GB Advanced Use
MGBLD009,202508,202505,1.68,MGBLD009,,,,Metanet Global,A,,2025-06-09,오후 10:06:15,,,0,21,1,3,,GB Advanced Use,GB Advanced Use
MGBLD010,202508,,1.68,MGBLD010,,,,Metanet Global,A,,2024-09-02,오후 1:33:09,,,0,21,1,0,,GB Advanced Use,
MGBLD011,202508,,1.68,MGBLD011,,,,Metanet Global,A,,2024-09-25,오후 3:08:35,,,0,21,1,0,,GB Advanced Use,
